SKU,Nombre_Producto,Descripcion,Categoria,Subcategoria,Marca,Precio_Unitario_EUR,Costo_Unitario_EUR,Stock_Actual,Stock_Minimo,Ubicacion_Almacen,Proveedor_ID,Fecha_Ultima_Recepcion,Peso_Kg,Dimensiones_cm_LxAxH,Color,Material,Estado_Producto
PROD-COS-0011,Cuidado Corporal AromaEsencial Praesentium 252,At mollitia facere ipsa voluptatem dolores minus libero.,Cosmética,Cuidado Corporal,AromaEsencial,2252.96,1160.85,811,30,D2-S2-B4,PROV-021,2025-01-15,7.24,13x47x33,Verde,Algodón,Activo
PROD-ALI-0012,Fresco SaborNatural Rem Basic968,Id inventore repellendus distinctio quasi tempora.,Alimentación,Fresco,SaborNatural,1586.61,541.08,121,22,C2-S8-B4,PROV-008,2024-04-06,2.78,88x52x32,N/A,N/A,Bajo Pedido
PROD-ELE-0013,Audio TechNova Natus XL810,Dolorem repudiandae porro nam iure dicta quae architecto minima.,Electrónica,Audio,TechNova,944.64,658.35,759,47,A2-S9-B1,PROV-031,2024-12-23,12.76,22x32x44,Multicolor,Cuero,Activo
PROD-JUG-0014,Construcción ConstruBlock Doloremque Basic115,Sit recusandae laborum illum harum quas vitae cum porro omnis possimus similique id.,Juguetes,Construcción,ConstruBlock,2457.13,1203.46,433,25,C5-S1-B5,PROV-011,2024-11-07,1.97,59x7x40,Multicolor,Cuero,Descontinuado
PROD-LIB-0015,Revistas MundoLiterario Adipisci XL606,Maiores explicabo debitis rem nobis nulla neque at perferendis dolorem ut repellat.,Libros,Revistas,MundoLiterario,950.88,329.78,337,14,D3-S5-B4,PROV-042,2024-11-01,2.15,15x23x1,N/A,Aluminio,Próximamente
PROD-ALI-0016,Fresco QuickBite Officiis Basic282,Sit accusantium doloribus et omnis sit.,Alimentación,Fresco,QuickBite,2450.83,817.68,664,30,B4-S5-B3,PROV-015,2024-06-25,16.48,56x74x45,N/A,N/A,Próximamente
PROD-LIB-0017,Infantil PequesLeen Ipsum XL462,Atque officiis sed laborum placeat quo excepturi vitae ea excepturi.,Libros,Infantil,PequesLeen,666.67,436.62,846,26,C1-S4-B1,PROV-049,2024-10-01,20.71,15x23x1,N/A,Cuero,Descontinuado
PROD-ALI-0018,Fresco SaborNatural Ut 555,Minima et blanditiis minima beatae laudantium vero sed autem laboriosam explicabo dolorum.,Alimentación,Fresco,SaborNatural,291.0,158.39,768,15,A1-S6-B1,PROV-013,2024-08-29,19.64,96x70x5,N/A,N/A,Activo
PROD-ELE-0019,Accesorios AudioMax Illo Pro715,Labore iure incidunt perferendis officia laborum est alias ratione incidunt doloremque commodi.,Electrónica,Accesorios,AudioMax,1231.19,401.11,788,45,D4-S7-B3,PROV-013,2024-12-16,9.34,25x50x50,Gris,Papel,Bajo Pedido
PROD-LIB-0020,Académico PequesLeen Adipisci 717,Quis dolore ullam labore sapiente numquam ullam nostrum officia neque id.,Libros,Académico,PequesLeen,841.91,505.47,217,31,C3-S8-B2,PROV-046,2024-05-05,24.26,15x23x5,N/A,Cerámica,Descontinuado
PROD-JUG-0021,Peluches ConstruBlock Unde Pro660,Culpa nihil rem ad natus officia exercitationem veniam amet nulla soluta.,Juguetes,Peluches,ConstruBlock,384.3,212.8,848,37,B2-S4-B1,PROV-014,2024-07-17,6.32,46x19x12,Gris,Papel,Activo
PROD-LIB-0022,Académico PequesLeen Officia Pro428,Neque eveniet quam recusandae eos quos hic et aliquam officia reiciendis exercitationem tempore.,Libros,Académico,PequesLeen,1566.87,1073.42,868,30,C1-S3-B5,PROV-034,2025-02-10,20.77,15x23x5,N/A,Silicona,Activo
PROD-ELE-0023,Accesorios VisionPlus Sapiente Pro17,Dolores nesciunt reiciendis non explicabo reiciendis.,Electrónica,Accesorios,VisionPlus,369.7,213.25,501,46,D5-S5-B4,PROV-029,2024-04-26,21.61,86x13x17,Rojo,Poliéster,Activo
PROD-HOG-0024,Muebles DecoHome Fuga XL97,Laudantium perspiciatis quibusdam ipsa repellat necessitatibus incidunt nihil a deleniti repellendus eius.,Hogar,Muebles,DecoHome,314.92,102.06,729,42,C2-S6-B3,PROV-047,2025-02-13,20.04,76x28x13,Azul,Vidrio,Descontinuado
PROD-HOG-0025,Decoración CleanFast Enim Basic347,Magnam eos esse explicabo nisi dolore nihil delectus nostrum aliquid sunt labore amet.,Hogar,Decoración,CleanFast,1621.17,777.45,353,21,C1-S3-B4,PROV-047,2025-03-03,5.46,72x23x9,Verde,Silicona,Activo
PROD-HOG-0026,Cocina MuebleRústico Deleniti 750,Voluptatum soluta placeat quis ratione sit ullam corporis aliquam.,Hogar,Cocina,MuebleRústico,620.67,413.48,503,30,D3-S7-B2,PROV-023,2024-10-30,15.73,55x41x26,Gris,Metal,Activo
PROD-ELE-0027,Audio TechNova Hic Eco165,Iure ipsam beatae voluptas quas ducimus adipisci et.,Electrónica,Audio,TechNova,868.88,379.09,476,40,B3-S7-B1,PROV-038,2024-10-10,7.7,17x67x49,Transparente,Cuero,Próximamente
PROD-JUG-0028,Educativos ConstruBlock Sunt Eco286,Exercitationem at necessitatibus minima ipsam dolor.,Juguetes,Educativos,ConstruBlock,551.76,353.57,438,43,C2-S3-B5,PROV-030,2024-07-11,0.21,24x41x25,Multicolor,Silicona,Próximamente
PROD-JUG-0029,Educativos DivertiKids Perspiciatis Pro472,Nihil blanditiis sunt blanditiis labore autem repudiandae excepturi corporis perspiciatis deleniti.,Juguetes,Educativos,DivertiKids,1096.55,424.74,97,12,B3-S8-B2,PROV-037,2024-06-17,1.72,28x18x22,Multicolor,Papel,Bajo Pedido
PROD-ALI-0030,Bebidas SaborNatural Molestiae 102,Commodi minima odio fugiat incidunt libero dolore eius voluptatum magnam facere.,Alimentación,Bebidas,SaborNatural,1795.67,1188.95,404,34,D1-S5-B2,PROV-034,2024-12-11,22.53,42x53x12,N/A,N/A,Próximamente
PROD-ALI-0031,Bebidas SaborNatural Porro Pro295,Minus quam quaerat fugit unde et similique neque quae ipsa.,Alimentación,Bebidas,SaborNatural,1357.38,609.54,663,48,C4-S5-B2,PROV-018,2024-05-25,10.82,77x24x4,N/A,N/A,Descontinuado
PROD-ELE-0032,Audio AudioMax Dolor 338,Perspiciatis sint sunt ad eos maxime nobis voluptatibus quisquam sint.,Electrónica,Audio,AudioMax,1361.54,782.26,847,37,A4-S4-B5,PROV-045,2024-06-18,2.97,100x46x23,Verde,Plástico,Activo
PROD-ROP-0033,Calzado UrbanStyle Mollitia 5,Eum iusto sed placeat cumque sed consequuntur voluptatum.,Ropa,Calzado,UrbanStyle,823.67,269.12,953,44,B4-S1-B3,PROV-036,2024-09-04,8.82,99x50x49,Naranja,Plástico,Descontinuado
PROD-ROP-0034,Abrigos UrbanStyle Maxime 978,Perferendis similique quae numquam similique asperiores culpa non commodi architecto dolor nihil.,Ropa,Abrigos,UrbanStyle,1039.64,711.82,305,25,D3-S4-B1,PROV-027,2024-12-25,18.54,67x41x47,Gris,Poliéster,Próximamente
PROD-LIB-0035,Revistas PequesLeen Exercitationem Pro877,Minus quibusdam quam cumque corrupti ea illo.,Libros,Revistas,PequesLeen,2426.48,1480.86,847,45,A2-S4-B1,PROV-004,2025-03-14,15.11,15x23x5,N/A,Metal,Descontinuado
PROD-LIB-0036,Académico PequesLeen Quia XL691,Aliquid voluptatem ab ex eos inventore quidem est.,Libros,Académico,PequesLeen,1081.42,724.77,899,49,D2-S8-B4,PROV-020,2024-05-01,4.67,15x23x3,N/A,Poliéster,Bajo Pedido
PROD-ELE-0037,Audio AudioMax Reprehenderit Eco589,Quisquam earum aliquam molestiae rem maiores magni modi aspernatur dicta architecto magni similique.,Electrónica,Audio,AudioMax,1329.13,696.63,766,30,B4-S10-B3,PROV-029,2024-05-17,24.05,12x33x26,Rojo,Aluminio,Bajo Pedido
PROD-ROP-0038,Camisetas Elegance Dolores Pro562,Ullam odit assumenda fugiat a ad ratione pariatur minus quis voluptatibus ex.,Ropa,Camisetas,Elegance,1458.01,643.45,720,47,D1-S2-B3,PROV-013,2025-03-16,9.42,59x6x21,Amarillo,Metal,Activo
PROD-COS-0039,Cuidado Facial ColorVibrante Fuga Eco997,Magnam consectetur consequatur error voluptate ea sit quo.,Cosmética,Cuidado Facial,ColorVibrante,45.13,20.72,164,42,C4-S9-B1,PROV-030,2024-12-19,21.57,30x50x50,Blanco,Cerámica,Activo
PROD-HOG-0040,Decoración DecoHome Ea Eco591,Magnam corporis magni rerum ratione corrupti praesentium.,Hogar,Decoración,DecoHome,1614.64,568.54,990,38,D3-S3-B4,PROV-044,2024-07-02,10.6,47x6x17,Naranja,Cuero,Próximamente
PROD-COS-0041,Cuidado Corporal BellaPiel Quasi Eco299,Incidunt a nobis error aperiam eveniet quis quae iste necessitatibus corporis cum sint.,Cosmética,Cuidado Corporal,BellaPiel,46.77,16.66,151,36,C4-S7-B2,PROV-026,2025-02-20,0.49,52x12x29,Verde,Plástico,Próximamente
PROD-HOG-0042,Limpieza CocinaFácil Perferendis Eco958,Expedita asperiores perspiciatis quasi ullam soluta amet excepturi cum dolorum.,Hogar,Limpieza,CocinaFácil,1786.13,1105.0,154,30,C2-S10-B5,PROV-038,2024-12-25,15.84,74x56x22,Blanco,Metal,Próximamente
PROD-LIB-0043,Académico Ediciones Saber Sunt 878,Error deserunt occaecati tempora natus illo occaecati maxime corrupti quis quibusdam.,Libros,Académico,Ediciones Saber,658.58,332.32,991,30,A2-S10-B5,PROV-031,2024-09-30,8.36,15x23x5,N/A,Plástico,Activo
PROD-COS-0044,Cuidado Facial AromaEsencial Repellendus 450,Dolores enim officia cupiditate consequatur blanditiis.,Cosmética,Cuidado Facial,AromaEsencial,95.09,29.79,313,40,D1-S8-B4,PROV-016,2024-06-28,7.77,76x62x39,Rojo,Silicona,Próximamente
PROD-HOG-0045,Cocina DecoHome Quo Eco753,Amet ullam tempore reprehenderit architecto doloremque.,Hogar,Cocina,DecoHome,879.77,347.82,513,40,D3-S2-B5,PROV-020,2024-06-23,22.22,57x5x43,Azul,Metal,Próximamente
PROD-ROP-0046,Camisetas UrbanStyle Consequatur XL318,Magni fugit molestias earum at nihil esse voluptatem iure natus cum reiciendis animi.,Ropa,Camisetas,UrbanStyle,190.6,113.6,442,46,A2-S9-B2,PROV-004,2024-06-16,0.08,94x78x43,Multicolor,Metal,Activo
PROD-ROP-0047,Abrigos ModaFlex Nostrum XL616,Ratione dolorum repudiandae fuga beatae asperiores.,Ropa,Abrigos,ModaFlex,1010.8,327.02,582,38,B3-S8-B1,PROV-041,2024-05-12,4.85,33x43x36,Blanco,Cuero,Descontinuado
PROD-LIB-0048,Académico PequesLeen Placeat XL640,Voluptas placeat adipisci consequuntur inventore quo quae.,Libros,Académico,PequesLeen,2246.46,1204.71,827,49,B3-S4-B3,PROV-007,2024-07-08,0.1,15x23x5,N/A,Papel,Bajo Pedido
PROD-ELE-0049,Audio AudioMax Alias Basic619,Omnis unde placeat molestias libero numquam.,Electrónica,Audio,AudioMax,2472.62,1693.33,835,36,A3-S5-B2,PROV-019,2025-03-28,14.84,67x16x46,Plateado,Metal,Bajo Pedido
PROD-ALI-0050,Conservas QuickBite Voluptate 303,Porro error tenetur amet at dolorum quia minima rem.,Alimentación,Conservas,QuickBite,2009.52,977.65,361,50,C3-S9-B2,PROV-008,2024-12-13,15.46,50x21x27,N/A,N/A,Descontinuado
PROD-ROP-0051,Pantalones ComfortWear Possimus XL963,Nesciunt libero nostrum mollitia in officia ad nulla minus aliquam.,Ropa,Pantalones,ComfortWear,1813.38,1033.08,238,27,B4-S7-B4,PROV-039,2024-05-27,18.22,61x11x26,Gris,Poliéster,Bajo Pedido
PROD-ALI-0052,Snacks SaborNatural Aspernatur Pro545,Temporibus quod ullam fugit necessitatibus nam.,Alimentación,Snacks,SaborNatural,206.9,102.52,746,43,A5-S2-B2,PROV-040,2024-10-27,8.67,42x69x31,N/A,N/A,Activo
PROD-LIB-0053,Revistas PequesLeen Quo Eco141,Sit earum alias repellat unde dolorum repellendus maxime nulla.,Libros,Revistas,PequesLeen,595.4,331.94,38,30,C5-S3-B3,PROV-032,2024-05-25,22.67,15x23x1,N/A,Cuero,Bajo Pedido
PROD-JUG-0054,Muñecas ConstruBlock Officiis 105,Eveniet repellat corrupti nesciunt voluptas numquam.,Juguetes,Muñecas,ConstruBlock,1158.13,775.0,406,19,B5-S1-B1,PROV-029,2024-04-23,16.16,58x42x12,Blanco,Plástico,Descontinuado
PROD-ELE-0055,Móviles ConnectPhone Sed Basic203,Ipsam numquam recusandae deleniti velit tempora quia quasi totam voluptatum.,Electrónica,Móviles,ConnectPhone,865.44,502.57,7,36,C5-S9-B1,PROV-011,2025-01-14,16.86,44x24x44,Verde,Metal,Activo
PROD-ELE-0056,Computadoras ConnectPhone Suscipit Basic422,Natus sed consectetur sequi cumque unde consequuntur quos molestias quaerat non.,Electrónica,Computadoras,ConnectPhone,57.59,20.17,758,33,C3-S1-B5,PROV-028,2025-01-27,7.12,84x30x10,Transparente,Poliéster,Descontinuado
PROD-ALI-0057,Fresco QuickBite Optio 477,Similique facere dolor ipsa nobis eius sunt delectus id et ipsa laboriosam.,Alimentación,Fresco,QuickBite,2010.86,1378.86,187,31,C4-S7-B2,PROV-029,2024-10-29,21.61,96x61x30,N/A,N/A,Activo
PROD-JUG-0058,Muñecas EduPlay Laudantium Pro916,Mollitia voluptate dolore aliquid ullam placeat incidunt porro similique ipsa.,Juguetes,Muñecas,EduPlay,274.6,168.03,241,30,B2-S3-B4,PROV-033,2024-06-04,6.93,100x18x47,Transparente,Cerámica,Descontinuado
PROD-ALI-0059,Congelado DeliciasGourmet Rem Pro116,Provident blanditiis quibusdam assumenda eum neque eum.,Alimentación,Congelado,DeliciasGourmet,1379.54,810.45,774,22,B3-S5-B1,PROV-026,2024-06-06,11.3,13x76x22,N/A,N/A,Bajo Pedido
PROD-ELE-0060,Móviles AudioMax Sed Pro59,Similique ex neque accusamus magnam ratione cupiditate sapiente autem quidem.,Electrónica,Móviles,AudioMax,773.67,528.0,403,50,C3-S5-B1,PROV-005,2024-09-04,14.7,51x77x30,Rojo,Metal,Próximamente
PROD-ALI-0061,Bebidas DeliciasGourmet Reprehenderit XL833,Beatae voluptates suscipit rerum doloremque non voluptatem.,Alimentación,Bebidas,DeliciasGourmet,1116.72,695.53,806,17,A2-S2-B2,PROV-014,2025-02-22,17.24,68x23x36,N/A,N/A,Próximamente
PROD-HOG-0062,Cocina CleanFast Recusandae XL55,Eum vitae cupiditate amet ipsa debitis.,Hogar,Cocina,CleanFast,1971.79,856.82,216,35,D4-S6-B2,PROV-005,2025-02-07,0.49,79x29x12,Naranja,Poliéster,Bajo Pedido
PROD-ROP-0063,Pantalones Elegance Illo XL659,Explicabo vero quisquam consequuntur dolorem ratione soluta in.,Ropa,Pantalones,Elegance,129.85,40.31,705,31,C1-S7-B3,PROV-031,2024-04-20,11.76,78x46x31,Gris,Aluminio,Activo
PROD-HOG-0064,Cocina CocinaFácil Cumque Eco236,Praesentium beatae aspernatur aut earum iure voluptate voluptatum aut sunt asperiores eum quos.,Hogar,Cocina,CocinaFácil,656.05,385.27,60,30,D2-S6-B2,PROV-026,2024-04-29,0.64,20x70x10,Rojo,Aluminio,Próximamente
PROD-ALI-0065,Conservas DeliciasGourmet Beatae Eco909,Non quidem ab facere quas ut cupiditate ratione quos hic officia deleniti.,Alimentación,Conservas,DeliciasGourmet,361.72,143.52,403,34,A3-S6-B3,PROV-015,2025-03-06,18.9,45x20x1,N/A,N/A,Bajo Pedido
PROD-ROP-0066,Vestidos ModaFlex Nisi XL208,Libero fugit minima sequi veniam necessitatibus nisi.,Ropa,Vestidos,ModaFlex,1337.7,888.09,127,17,A1-S6-B4,PROV-029,2024-12-01,24.33,64x66x31,Gris,Vidrio,Descontinuado
PROD-JUG-0067,Peluches DivertiKids Neque Eco289,Consequuntur quibusdam fugiat earum rerum recusandae dolorem enim perspiciatis fuga.,Juguetes,Peluches,DivertiKids,2040.53,1203.12,218,37,B3-S8-B5,PROV-048,2025-02-02,24.24,49x68x44,Plateado,Vidrio,Activo
PROD-JUG-0068,Peluches EduPlay Ratione XL450,Facere rerum distinctio error quas minus.,Juguetes,Peluches,EduPlay,179.69,78.63,857,43,D3-S8-B3,PROV-010,2024-07-10,7.07,92x73x24,Gris,Poliéster,Descontinuado
PROD-LIB-0069,No Ficción Ediciones Saber Quibusdam Pro650,Perferendis officia architecto autem necessitatibus voluptates commodi iste nihil consectetur.,Libros,No Ficción,Ediciones Saber,877.96,523.02,935,10,C3-S10-B5,PROV-003,2025-02-02,10.9,15x23x2,N/A,Poliéster,Activo
PROD-LIB-0070,No Ficción PequesLeen Maxime Eco572,Occaecati nisi fugit perferendis culpa reiciendis numquam atque illo quam similique ducimus.,Libros,No Ficción,PequesLeen,502.08,272.12,599,45,B2-S10-B3,PROV-022,2024-09-23,15.13,15x23x5,N/A,Vidrio,Próximamente
PROD-ALI-0071,Bebidas SaborNatural Ipsum 198,Fuga velit dicta placeat ex fugiat praesentium aut labore eos nam cupiditate.,Alimentación,Bebidas,SaborNatural,1801.01,1012.03,921,21,D4-S9-B1,PROV-006,2024-04-18,20.08,97x56x24,N/A,N/A,Activo
PROD-ELE-0072,Móviles ConnectPhone Optio Basic284,Qui ratione mollitia eveniet dolor dicta enim perspiciatis adipisci maiores est dolorem animi.,Electrónica,Móviles,ConnectPhone,2444.62,846.27,956,12,B1-S9-B2,PROV-024,2024-06-06,8.69,22x46x13,Multicolor,Silicona,Activo
PROD-HOG-0073,Limpieza DecoHome Excepturi Basic252,Eius cum cum rerum minima distinctio cupiditate magni.,Hogar,Limpieza,DecoHome,686.3,355.02,433,18,C4-S4-B3,PROV-005,2025-01-03,8.43,52x20x35,Amarillo,Vidrio,Descontinuado
PROD-LIB-0074,Infantil Ediciones Saber Magni Pro12,Consequuntur eos laboriosam modi amet neque illo reprehenderit voluptate nisi dolorem.,Libros,Infantil,Ediciones Saber,295.92,147.5,426,28,C1-S8-B1,PROV-025,2025-01-06,24.97,15x23x2,N/A,Cuero,Activo
PROD-JUG-0075,Peluches EduPlay Nobis XL931,Eum animi iusto vero cumque ut sit enim veniam.,Juguetes,Peluches,EduPlay,2157.86,708.34,396,23,B5-S2-B2,PROV-004,2024-09-21,13.42,78x64x44,Verde,Metal,Descontinuado
PROD-COS-0076,Maquillaje AromaEsencial Reiciendis 840,Beatae harum quae eos excepturi sequi atque.,Cosmética,Maquillaje,AromaEsencial,2143.62,1414.61,276,48,A2-S7-B2,PROV-046,2024-11-22,16.02,87x23x24,Negro,Metal,Próximamente
PROD-ALI-0077,Conservas SaborNatural Error Eco247,Dolores cumque possimus officia placeat odit repudiandae nam accusantium molestiae omnis.,Alimentación,Conservas,SaborNatural,1366.57,733.38,567,34,A2-S3-B2,PROV-007,2024-12-04,13.18,83x32x20,N/A,N/A,Descontinuado
PROD-ALI-0078,Congelado QuickBite Minima XL965,Dicta laboriosam ullam autem neque voluptate reiciendis debitis aliquid itaque non.,Alimentación,Congelado,QuickBite,2012.85,849.03,95,21,A4-S6-B4,PROV-003,2024-07-29,14.11,77x76x40,N/A,N/A,Activo
PROD-COS-0079,Maquillaje ColorVibrante Amet XL647,Optio laborum rem consectetur voluptates dolores voluptates molestiae eaque ut illum id.,Cosmética,Maquillaje,ColorVibrante,715.75,295.23,194,21,C2-S10-B3,PROV-016,2024-08-24,8.75,60x11x2,Rojo,Vidrio,Descontinuado
PROD-ELE-0080,Móviles VisionPlus Laboriosam Pro443,Accusantium facere temporibus suscipit porro corporis maxime molestias et.,Electrónica,Móviles,VisionPlus,941.53,502.88,984,19,D2-S5-B2,PROV-004,2025-04-01,6.39,95x73x18,Rojo,Metal,Descontinuado
PROD-COS-0081,Cuidado Facial BellaPiel Ea 119,Illo sapiente magni atque fugit optio vel adipisci officia.,Cosmética,Cuidado Facial,BellaPiel,880.46,510.63,733,22,C4-S10-B4,PROV-006,2025-02-23,13.19,80x42x22,Multicolor,Poliéster,Bajo Pedido
PROD-COS-0082,Cuidado Corporal AromaEsencial Alias XL454,Labore ea qui amet dolores iure asperiores eaque modi omnis nesciunt hic.,Cosmética,Cuidado Corporal,AromaEsencial,2463.67,1365.65,963,38,D2-S5-B2,PROV-006,2024-11-14,16.83,83x36x8,Naranja,Algodón,Descontinuado
PROD-ROP-0083,Abrigos ComfortWear Laboriosam 684,At eveniet veritatis inventore repellendus non nulla dolorum ad totam.,Ropa,Abrigos,ComfortWear,86.43,47.03,485,27,C3-S5-B4,PROV-033,2024-07-20,13.47,87x37x7,Negro,Poliéster,Activo
PROD-ALI-0084,Fresco DeliciasGourmet Quibusdam Pro136,Nemo nostrum quidem repudiandae pariatur aspernatur dolore quo.,Alimentación,Fresco,DeliciasGourmet,1535.54,712.33,922,16,D1-S1-B2,PROV-024,2024-09-17,7.57,13x57x42,N/A,N/A,Próximamente
PROD-JUG-0085,Educativos ConstruBlock Quos Pro801,Dolores optio expedita soluta magnam soluta magni quae laborum quas.,Juguetes,Educativos,ConstruBlock,1829.71,834.59,817,34,B3-S5-B2,PROV-001,2024-11-14,6.68,61x62x38,Amarillo,Poliéster,Próximamente
PROD-ELE-0086,Móviles ConnectPhone Assumenda Eco260,Aliquam beatae deleniti dignissimos adipisci maiores excepturi illum architecto eligendi.,Electrónica,Móviles,ConnectPhone,1465.03,696.51,711,48,D1-S8-B4,PROV-047,2024-06-25,18.54,52x6x25,Multicolor,Poliéster,Activo
PROD-HOG-0087,Decoración CocinaFácil Ipsa Basic512,Magnam quo rerum labore nostrum possimus totam quos nesciunt.,Hogar,Decoración,CocinaFácil,837.16,488.75,321,31,C5-S5-B2,PROV-017,2024-06-01,11.11,52x56x49,Plateado,Aluminio,Próximamente
PROD-ROP-0088,Camisetas Elegance Hic Pro940,Adipisci iure necessitatibus esse aliquid rem sequi.,Ropa,Camisetas,Elegance,424.49,207.15,376,34,C5-S10-B4,PROV-019,2025-03-30,0.89,82x11x8,Multicolor,Metal,Bajo Pedido
PROD-LIB-0089,Infantil MundoLiterario A Pro257,Voluptas fugiat non voluptates debitis saepe enim quo exercitationem possimus.,Libros,Infantil,MundoLiterario,2025.05,1118.21,207,47,A3-S7-B5,PROV-013,2024-09-12,3.7,15x23x5,N/A,Algodón,Descontinuado
PROD-ALI-0090,Bebidas SaborNatural Facere 916,Beatae cupiditate earum alias ex rerum dolore facere inventore illum magni deleniti ratione.,Alimentación,Bebidas,SaborNatural,1699.31,828.99,782,27,D5-S10-B1,PROV-034,2024-05-17,22.65,99x23x3,N/A,N/A,Descontinuado
PROD-JUG-0091,Peluches EduPlay Rem Pro759,Incidunt commodi labore quas molestias voluptatibus dolorem.,Juguetes,Peluches,EduPlay,1746.5,893.18,921,19,A2-S3-B2,PROV-008,2025-03-24,14.72,38x14x20,Rojo,Aluminio,Bajo Pedido
PROD-JUG-0092,Educativos EduPlay Quisquam Eco750,Molestiae temporibus eveniet nostrum ut recusandae porro saepe porro ipsa illo.,Juguetes,Educativos,EduPlay,2469.41,1043.02,748,11,D4-S5-B4,PROV-011,2025-01-07,4.03,37x6x3,Verde,Aluminio,Bajo Pedido
PROD-HOG-0093,Limpieza CocinaFácil Illum Eco826,Accusantium molestias laborum quisquam veritatis repudiandae esse ex atque voluptatibus labore.,Hogar,Limpieza,CocinaFácil,1887.52,765.18,833,19,D5-S6-B3,PROV-004,2024-04-20,4.4,43x77x25,Transparente,Papel,Bajo Pedido
PROD-HOG-0094,Jardín CleanFast Molestiae 395,Quidem voluptatem placeat accusantium quos dolores praesentium placeat quos itaque temporibus eaque doloremque.,Hogar,Jardín,CleanFast,1912.47,1238.7,441,36,C3-S2-B5,PROV-045,2024-07-11,10.0,56x33x40,Gris,Aluminio,Bajo Pedido
PROD-LIB-0095,Académico PequesLeen Esse Pro132,Nulla laboriosam magni veniam magnam consequuntur fugiat quaerat.,Libros,Académico,PequesLeen,454.89,219.2,528,10,A2-S3-B4,PROV-010,2024-11-01,15.49,15x23x4,N/A,Cuero,Bajo Pedido
PROD-COS-0096,Cuidado Corporal ColorVibrante Ad Pro258,Accusamus unde mollitia facilis est ipsa reiciendis at doloribus quo temporibus et.,Cosmética,Cuidado Corporal,ColorVibrante,1797.39,652.93,472,35,A1-S9-B5,PROV-008,2024-09-05,11.21,23x48x50,Rojo,Metal,Activo
PROD-ALI-0097,Snacks DeliciasGourmet Eum Basic971,Dolorem quasi quibusdam sapiente maiores placeat harum totam porro illum labore doloribus beatae distinctio.,Alimentación,Snacks,DeliciasGourmet,436.9,296.8,119,47,A5-S4-B2,PROV-013,2025-02-05,12.43,38x77x24,N/A,N/A,Activo
