ID_Detalle_Venta,ID_Venta,ID_Cliente,SKU_Producto,Fecha_Hora_Venta,Cantidad,Precio_Unitario_Venta_EUR,Descuento_Aplicado_Porc,Precio_Total_Linea_EUR,Metodo_Pago,ID_Vendedor,ID_Tienda_o_Canal,Impuestos_IVA_EUR,Costo_Envio_Aplicado_EUR,Estado_Pedido,Numero_Seguimiento_Envio,Moneda
DET00054,VNT-2025-1249-0038,CL0651,PROD-COS-1730,2024-11-22 00:13:18,3,262.59,0.15,669.6,Tarjeta Crédito,VEND06,TIENDA-MAD,140.62,0,Cancelado,,ARS
DET00055,VNT-2025-1249-0038,CL0651,PROD-HOG-0109,2024-11-22 00:13:18,4,481.11,0.05,1828.22,Tarjeta Crédito,VEND06,TIENDA-MAD,383.93,0,Cancelado,,ARS
DET00056,VNT-2025-1249-0039,CL0170,PROD-LIB-1800,2025-01-07 19:06:20,4,232.2,0.05,882.36,Efectivo,VEND15,TIENDA-BOG,185.3,0,Entregado,TRK800998117MX,ARS
DET00057,VNT-2025-1249-0040,CL0515,PROD-ELE-0032,2024-07-26 18:36:12,3,448.24,0.05,1277.48,Tarjeta Crédito,VEND08,TIENDA-BCN,268.27,0,Procesando,,MXN
DET00058,VNT-2025-1249-0040,CL0515,PROD-HOG-1837,2024-07-26 18:36:12,1,193.4,0.2,154.72,Tarjeta Crédito,VEND08,TIENDA-BCN,32.49,0,Procesando,,MXN
DET00059,VNT-2025-1249-0041,CL0684,PROD-ELE-0914,2024-04-19 09:35:27,4,383.97,0.0,1535.88,Tarjeta Crédito,VEND01,TIENDA-BOG,322.53,0,Enviado,TRK170737699US,MXN
DET00060,VNT-2025-1249-0042,CL1317,PROD-ROP-1858,2024-09-27 20:11:08,3,29.42,0.05,83.85,Efectivo,VEND09,TELEFONO,17.61,0,Cancelado,,USD
DET00061,VNT-2025-1249-0043,CL0436,PROD-ROP-1545,2024-10-02 12:07:42,1,82.1,0.15,69.78,Contra Reembolso,VEND14,TELEFONO,14.65,0,Entregado,TRK398098503CO,ARS
DET00062,VNT-2025-1249-0044,CL1916,PROD-ELE-1297,2024-10-21 13:11:52,2,476.88,0.1,858.38,Contra Reembolso,VEND05,TIENDA-BCN,180.26,0,Entregado,TRK154831370MX,COP
DET00063,VNT-2025-1249-0045,CL1734,PROD-ALI-1142,2024-05-07 17:22:35,4,238.32,0.1,857.95,Contra Reembolso,VEND10,TIENDA-BOG,180.17,0,Enviado,TRK609762828MX,EUR
DET00064,VNT-2025-1249-0046,CL0556,PROD-COS-1586,2024-11-09 04:32:57,1,239.35,0.1,215.41,PayPal,VEND15,TIENDA-BCN,45.24,0,Cancelado,,EUR
DET00065,VNT-2025-1249-0046,CL0556,PROD-ELE-0890,2024-11-09 04:32:57,3,484.43,0.0,1453.29,PayPal,VEND15,TIENDA-BCN,305.19,0,Cancelado,,EUR
DET00066,VNT-2025-1249-0047,CL1673,PROD-ALI-1258,2024-05-07 17:26:53,1,363.14,0.2,290.51,Tarjeta Crédito,VEND01,TIENDA-MAD,61.01,0,Pendiente Pago,,ARS
DET00067,VNT-2025-1249-0048,CL0812,PROD-ELE-0254,2024-07-25 10:33:13,1,384.51,0.2,307.61,Tarjeta Débito,VEND02,TIENDA-BCN,64.6,0,Cancelado,,MXN
DET00068,VNT-2025-1249-0049,CL1883,PROD-HOG-1131,2024-08-08 22:48:36,3,155.43,0.2,373.03,Tarjeta Crédito,VEND_ONLINE,TELEFONO,78.34,0,Cancelado,,MXN
DET00069,VNT-2025-1249-0050,CL0989,PROD-HOG-1301,2024-08-06 16:53:59,4,87.6,0.1,315.36,Bizum,VEND10,TIENDA-MEX,66.23,0,Enviado,TRK280221960MX,EUR
DET00070,VNT-2025-1249-0050,CL0989,PROD-HOG-0655,2024-08-06 16:53:59,3,319.43,0.1,862.46,Bizum,VEND10,TIENDA-MEX,181.12,0,Enviado,TRK280221960MX,EUR
DET00071,VNT-2025-1249-0051,CL0020,PROD-LIB-1425,2024-11-01 13:34:30,4,277.44,0.05,1054.27,Transferencia,VEND06,APP,221.4,0,Entregado,TRK753906115US,EUR
DET00072,VNT-2025-1249-0052,CL0528,PROD-ALI-0833,2024-04-24 21:31:00,1,400.3,0.2,320.24,Transferencia,VEND13,TIENDA-MAD,67.25,0,Entregado,TRK742726881CO,MXN
DET00073,VNT-2025-1249-0053,CL0578,PROD-HOG-0470,2024-07-05 08:25:48,2,89.24,0.05,169.56,Bizum,VEND04,TELEFONO,35.61,0,Devuelto,,ARS
DET00074,VNT-2025-1249-0054,CL0940,PROD-COS-1010,2024-11-09 08:41:29,3,19.68,0.2,47.23,Contra Reembolso,VEND14,TIENDA-MEX,9.92,0,Cancelado,,COP
DET00075,VNT-2025-1249-0055,CL0168,PROD-COS-0904,2024-06-28 05:11:04,4,66.58,0.0,266.32,Tarjeta Crédito,VEND10,APP,55.93,0,Entregado,TRK407568098CO,COP
DET00076,VNT-2025-1249-0056,CL0681,PROD-HOG-1623,2024-09-17 14:03:22,3,293.76,0.1,793.15,Bizum,VEND10,TELEFONO,166.56,0,Pendiente Pago,,EUR
DET00077,VNT-2025-1249-0057,CL0122,PROD-HOG-0149,2024-04-23 10:26:41,5,77.59,0.1,349.16,Contra Reembolso,VEND10,APP,73.32,0,Cancelado,,USD
DET00078,VNT-2025-1249-0058,CL1205,PROD-ALI-1787,2024-11-01 01:33:48,1,485.21,0.2,388.17,PayPal,VEND14,TIENDA-MEX,81.52,0,Cancelado,,EUR
DET00079,VNT-2025-1249-0058,CL1205,PROD-ROP-1616,2024-11-01 01:33:48,1,358.95,0.0,358.95,PayPal,VEND14,TIENDA-MEX,75.38,0,Cancelado,,EUR
DET00080,VNT-2025-1249-0059,CL1002,PROD-ALI-0513,2024-05-16 13:42:46,3,165.51,0.2,397.22,Tarjeta Débito,VEND03,TIENDA-MEX,83.42,0,Devuelto,,USD
DET00081,VNT-2025-1249-0060,CL0475,PROD-ALI-0097,2024-09-05 23:09:44,3,428.16,0.05,1220.26,Transferencia,VEND03,TIENDA-BOG,256.25,0,Entregado,TRK941718284ES,COP
DET00082,VNT-2025-1249-0061,CL1379,PROD-COS-0624,2024-08-27 16:07:27,4,250.3,0.2,800.96,Transferencia,VEND01,ONLINE,168.2,7.25,Devuelto,,COP
DET00083,VNT-2025-1249-0062,CL1885,PROD-HOG-1458,2024-06-20 15:31:22,5,303.4,0.15,1289.45,Bizum,VEND12,ONLINE,270.78,7.18,Pendiente Pago,,USD
DET00084,VNT-2025-1249-0063,CL1115,PROD-LIB-1370,2024-06-03 02:37:30,5,357.53,0.0,1787.65,Tarjeta Débito,VEND14,TIENDA-MEX,375.41,0,Pendiente Pago,,COP
DET00085,VNT-2025-1249-0064,CL1257,PROD-JUG-0360,2024-04-03 01:12:29,2,40.92,0.05,77.75,Transferencia,VEND14,APP,16.33,0,Enviado,TRK263735817CO,ARS
DET00086,VNT-2025-1249-0065,CL1442,PROD-JUG-0116,2024-06-26 09:34:16,3,494.05,0.05,1408.04,Transferencia,VEND08,TIENDA-BCN,295.69,0,Cancelado,,EUR
DET00087,VNT-2025-1249-0065,CL1442,PROD-COS-1604,2024-06-26 09:34:16,1,168.55,0.1,151.7,Transferencia,VEND08,TIENDA-BCN,31.86,0,Cancelado,,EUR
DET00088,VNT-2025-1249-0066,CL1251,PROD-ELE-1647,2024-08-02 07:31:29,5,324.62,0.15,1379.63,Contra Reembolso,VEND07,TIENDA-MAD,289.72,0,Cancelado,,ARS
DET00089,VNT-2025-1249-0066,CL1251,PROD-ELE-1900,2024-08-02 07:31:29,3,128.82,0.2,309.17,Contra Reembolso,VEND07,TIENDA-MAD,64.93,0,Cancelado,,ARS
DET00090,VNT-2025-1249-0067,CL1802,PROD-COS-0488,2024-07-15 00:22:09,3,101.59,0.05,289.53,Tarjeta Crédito,VEND12,TIENDA-MAD,60.8,0,Enviado,TRK595449979ES,EUR
DET00091,VNT-2025-1249-0068,CL1380,PROD-ROP-0704,2024-09-17 18:14:52,4,348.55,0.0,1394.2,Transferencia,VEND05,TELEFONO,292.78,0,Cancelado,,ARS
DET00092,VNT-2025-1249-0068,CL1380,PROD-JUG-1191,2024-09-17 18:14:52,4,378.66,0.15,1287.44,Transferencia,VEND05,TELEFONO,270.36,0,Cancelado,,ARS
DET00093,VNT-2025-1249-0069,CL1216,PROD-COS-0898,2024-05-03 15:15:36,4,277.59,0.1,999.32,Efectivo,VEND02,TIENDA-BCN,209.86,0,Entregado,TRK587054013CO,COP
DET00094,VNT-2025-1249-0070,CL0795,PROD-JUG-1049,2024-10-13 02:15:55,4,92.48,0.05,351.42,PayPal,VEND06,TIENDA-MAD,73.8,0,Pendiente Pago,,USD
DET00095,VNT-2025-1249-0070,CL0795,PROD-ELE-0200,2024-10-13 02:15:55,3,99.36,0.05,283.18,PayPal,VEND06,TIENDA-MAD,59.47,0,Pendiente Pago,,USD
DET00096,VNT-2025-1249-0071,CL0379,PROD-HOG-0577,2024-08-08 06:20:12,2,306.86,0.05,583.03,Contra Reembolso,VEND05,TIENDA-BCN,122.44,0,Devuelto,,ARS
DET00097,VNT-2025-1249-0072,CL0929,PROD-LIB-1844,2024-08-13 23:44:47,2,452.98,0.1,815.36,Tarjeta Crédito,VEND07,ONLINE,171.23,13.66,Procesando,,USD
DET00098,VNT-2025-1249-0073,CL1114,PROD-COS-1392,2024-04-03 06:45:57,5,455.51,0.2,1822.04,PayPal,VEND01,APP,382.63,0,Devuelto,,USD
DET00099,VNT-2025-1249-0073,CL1114,PROD-LIB-0146,2024-04-03 06:45:57,5,447.83,0.2,1791.32,PayPal,VEND01,APP,376.18,0,Devuelto,,USD
DET00100,VNT-2025-1249-0074,CL1020,PROD-COS-1979,2024-07-19 02:19:05,4,339.15,0.2,1085.28,Tarjeta Débito,VEND07,TELEFONO,227.91,0,Cancelado,,EUR
DET00101,VNT-2025-1249-0075,CL1759,PROD-LIB-0646,2024-04-05 12:54:23,2,288.87,0.1,519.97,Tarjeta Débito,VEND08,APP,109.19,0,Procesando,,COP
DET00102,VNT-2025-1249-0075,CL1759,PROD-ELE-0921,2024-04-05 12:54:23,1,21.41,0.2,17.13,Tarjeta Débito,VEND08,APP,3.6,0,Procesando,,COP
DET00103,VNT-2025-1249-0076,CL0889,PROD-LIB-1472,2025-01-13 18:37:35,2,421.07,0.1,757.93,Tarjeta Crédito,VEND08,TIENDA-BCN,159.17,0,Pendiente Pago,,MXN
DET00104,VNT-2025-1249-0077,CL0638,PROD-LIB-0730,2024-10-28 20:58:07,1,411.2,0.05,390.64,Efectivo,VEND06,TIENDA-BOG,82.03,0,Entregado,TRK842899184ES,ARS
DET00105,VNT-2025-1249-0078,CL1740,PROD-JUG-0781,2025-02-22 06:12:46,4,247.52,0.2,792.06,Contra Reembolso,VEND05,TIENDA-MEX,166.33,0,Enviado,TRK714073954MX,COP
DET00106,VNT-2025-1249-0079,CL0424,PROD-ALI-0018,2024-10-19 08:16:36,2,35.11,0.15,59.69,Contra Reembolso,VEND06,APP,12.53,0,Cancelado,,MXN
DET00107,VNT-2025-1249-0080,CL1188,PROD-COS-0405,2024-09-09 08:55:33,5,331.13,0.15,1407.3,Tarjeta Débito,VEND13,TIENDA-MEX,295.53,0,Devuelto,,USD
DET00108,VNT-2025-1249-0081,CL1938,PROD-COS-0714,2024-07-20 02:21:07,5,346.71,0.0,1733.55,Bizum,VEND11,TIENDA-BCN,364.05,0,Cancelado,,EUR
DET00109,VNT-2025-1249-0082,CL0014,PROD-ALI-0806,2024-04-13 05:41:16,3,456.93,0.05,1302.25,Tarjeta Crédito,VEND09,ONLINE,273.47,24.13,Procesando,,MXN
DET00110,VNT-2025-1249-0082,CL0014,PROD-HOG-1869,2024-04-13 05:41:16,5,55.68,0.0,278.4,Tarjeta Crédito,VEND09,ONLINE,58.46,24.13,Procesando,,MXN
DET00111,VNT-2025-1249-0083,CL1179,PROD-ELE-0226,2025-03-09 13:49:56,4,145.93,0.2,466.98,Bizum,VEND05,ONLINE,98.07,6.7,Devuelto,,COP
DET00112,VNT-2025-1249-0084,CL1016,PROD-HOG-1372,2024-06-02 23:45:21,5,126.45,0.1,569.02,Contra Reembolso,VEND13,APP,119.49,0,Procesando,,MXN
DET00113,VNT-2025-1249-0085,CL0567,PROD-ELE-1900,2024-05-04 09:00:14,4,320.3,0.1,1153.08,Tarjeta Crédito,VEND_ONLINE,ONLINE,242.15,6.34,Entregado,TRK754624537US,USD
DET00114,VNT-2025-1249-0086,CL1478,PROD-HOG-1468,2025-02-16 07:28:23,5,6.97,0.05,33.11,Bizum,VEND15,APP,6.95,0,Devuelto,,MXN
DET00115,VNT-2025-1249-0087,CL0601,PROD-ALI-1656,2024-07-28 12:18:29,4,101.15,0.0,404.6,Efectivo,VEND04,TIENDA-BOG,84.97,0,Devuelto,,ARS
DET00116,VNT-2025-1249-0088,CL0958,PROD-COS-0369,2024-08-16 19:51:11,5,51.58,0.1,232.11,Transferencia,VEND08,APP,48.74,0,Cancelado,,ARS
DET00117,VNT-2025-1249-0089,CL0444,PROD-LIB-0501,2024-06-03 21:47:45,2,124.45,0.0,248.9,Bizum,VEND06,APP,52.27,0,Entregado,TRK579303832US,COP
DET00118,VNT-2025-1249-0090,CL1811,PROD-ALI-0938,2024-05-22 08:52:52,2,14.21,0.05,27.0,Transferencia,VEND01,APP,5.67,0,Enviado,TRK148061958US,COP
DET00119,VNT-2025-1249-0090,CL1811,PROD-ROP-0286,2024-05-22 08:52:52,2,152.68,0.0,305.36,Transferencia,VEND01,APP,64.13,0,Enviado,TRK148061958US,COP
DET00120,VNT-2025-1249-0091,CL0131,PROD-COS-1388,2024-11-06 19:41:10,3,429.4,0.05,1223.79,PayPal,VEND09,TIENDA-BOG,257.0,0,Cancelado,,EUR
DET00121,VNT-2025-1249-0092,CL0435,PROD-ROP-1530,2024-05-24 08:15:47,1,406.7,0.05,386.36,Contra Reembolso,VEND03,TIENDA-BOG,81.14,0,Procesando,,USD
DET00122,VNT-2025-1249-0093,CL1767,PROD-HOG-1066,2025-01-24 00:47:47,1,445.64,0.1,401.08,Bizum,VEND03,APP,84.23,0,Enviado,TRK908284880MX,COP
DET00123,VNT-2025-1249-0093,CL1767,PROD-ROP-1312,2025-01-24 00:47:47,2,140.19,0.0,280.38,Bizum,VEND03,APP,58.88,0,Enviado,TRK908284880MX,COP
DET00124,VNT-2025-1249-0093,CL1767,PROD-JUG-1098,2025-01-24 00:47:47,1,330.4,0.15,280.84,Bizum,VEND03,APP,58.98,0,Enviado,TRK908284880MX,COP
DET00125,VNT-2025-1249-0094,CL1670,PROD-ELE-1531,2024-05-13 20:33:46,5,390.81,0.0,1954.05,Contra Reembolso,VEND13,TIENDA-MEX,410.35,0,Enviado,TRK506246824ES,ARS
DET00126,VNT-2025-1249-0095,CL1123,PROD-ROP-0176,2024-11-02 23:24:31,5,204.3,0.15,868.27,Efectivo,VEND01,TIENDA-BCN,182.34,0,Enviado,TRK356911416MX,ARS
DET00127,VNT-2025-1249-0096,CL1952,PROD-ROP-0047,2025-02-13 18:27:40,5,365.37,0.1,1644.16,Transferencia,VEND11,TIENDA-MEX,345.27,0,Cancelado,,ARS
DET00128,VNT-2025-1249-0097,CL1429,PROD-HOG-1620,2025-02-03 12:12:28,1,244.57,0.1,220.11,Transferencia,VEND02,APP,46.22,0,Devuelto,,EUR
DET00129,VNT-2025-1249-0098,CL1280,PROD-HOG-1527,2024-07-19 00:45:18,1,478.36,0.15,406.61,Efectivo,VEND04,TIENDA-MAD,85.39,0,Cancelado,,COP
DET00130,VNT-2025-1249-0099,CL1089,PROD-JUG-0189,2025-04-02 09:33:03,5,146.54,0.0,732.7,Contra Reembolso,VEND01,ONLINE,153.87,23.86,Devuelto,,USD
DET00131,VNT-2025-1249-0100,CL1380,PROD-ROP-0103,2024-12-19 02:14:10,2,21.92,0.05,41.65,PayPal,VEND06,APP,8.75,0,Cancelado,,COP
DET00132,VNT-2025-1249-0101,CL1640,PROD-ROP-1488,2025-03-24 11:11:49,5,367.4,0.05,1745.15,PayPal,VEND04,TELEFONO,366.48,0,Enviado,TRK829385796MX,ARS
DET00133,VNT-2025-1249-0102,CL1226,PROD-ROP-0738,2025-01-03 02:42:25,4,7.52,0.2,24.06,PayPal,VEND11,ONLINE,5.05,14.32,Devuelto,,MXN
DET00134,VNT-2025-1249-0103,CL0427,PROD-HOG-0221,2025-01-05 05:25:53,3,241.93,0.15,616.92,Bizum,VEND05,TIENDA-BOG,129.55,0,Pendiente Pago,,MXN
